name,scholar_id,dewey_id,original_names,affiliation,email_domain,interests,citedby,url_picture
Theophilus J. Riyanto,A4sme4cAAAAJ,1401,,"English Lecturer, Petra Christian University, Surabaya, Indonesia",@petra.ac.id,Literature and Culture,27,https://scholar.google.com/citations?view_op=medium_photo&user=A4sme4cAAAAJ
Theophilus Jokri,,1402,,,,,,
Theresia Lestiowati,,1403,,,,,,
Thiang,,1404,,,,,,
Thiang .,YtozS_AAAAAJ,1405,,Petra Christian University,@petra.ac.id,Automation;Robotics;Control System;Artificial Intelligence,201,https://scholar.google.com/citations?view_op=medium_photo&user=YtozS_AAAAAJ
Thijs Leurs,,1406,,,,,,
Thomas Andre De La Porte,,1407,,,,,,
Thomas Ari Kristianto,,1408,,,,,,
Thomas E. Van Der Veen,,1409,,,,,,
Thomas Raynov,,1410,,,,,,
Thomas Santoso,,1411,,,,,,
Thomas Stefanus Kaihatu,,1412,,,,,,
Thomas Tai,,1413,,,,,,
Tidak Diketahui,,1414,,,,,,
Tikno Subur Soebianto,,1415,,,,,,
Tim P. Roosen,,1416,,,,,,
Tim Roosen,,1417,,,,,,
Tim Van Hassel,,1418,,,,,,
Timoticin Kwanda,SL3191UAAAAJ,1419,,Petra Christian University,@petra.ac.id,architectural conservation,418,https://scholar.google.com/citations?view_op=medium_photo&user=SL3191UAAAAJ
Timotius Zainal Arifin,,1420,,,,,,
Tio Sally P. Suhonggo,,1421,,,,,,
Tio Sally Puspasari,,1422,,,,,,
Tirsa Endeli Tumbelaka,,1423,,,,,,
Tirta Djusman Arief,,1424,,,,,,
Titi Nur Vidyarini,,1425,,,,,,
"Titi Nur Vidyarini S.Sos., M.Comms",,1426,,,,,,
"Titi Nur Vidyarini S.Sos., M.Comms.",JGbjsEwAAAAJ,1427,,"Lecturer of Communication Science, Petra Christian University",@petra.ac.id,Intercultural Communication;Public Relations;Health Communication,208,https://scholar.google.com/citations?view_op=medium_photo&user=JGbjsEwAAAAJ
Titien Nursetyawati,,1428,,,,,,
Titien Wahono,,1429,,,,,,
Togar Wiliater Soaloon Panjaitan,,1430,,,,,,
Tom Parry,,1431,,,,,,
Tom Peperkamp,,1432,,,,,,
Tomy Suhartojo,,1433,,,,,,
Toni Masdiono,,1434,,,,,,
Toni Nurkhalam,,1435,,,,,,
Tonny Leonard,,1436,,,,,,
Tonny Stephanus Eoh,,1437,,,,,,
Totok Priyoleksono,,1438,,,,,,
Triningsih L,,1439,,,,,,
Triningsih Lilinanda,,1440,,,,,,
Trixie Nova Bella Tandijaya,,1441,,,,,,
Unknown Old Contributor Data,,1442,,,,,,
Unti Ludigdo,,1443,,,,,,
Upik Rubiyanti S. Sos,,1444,,,,,,
Usman Effendi Pakpahan,,1445,,,,,,
Utami Prasetiawati,,1446,,,,,,
V. Henky Supit,,1447,,,,,,
V. P. Nugroho Susilo,,1448,,,,,,
V. Suprayitno,,1449,,,,,,
Van Der Hoek,,1450,,,,,,
Van Veugen,,1451,,,,,,
Vanessa Yusuf,,1452,,,,,,
Vellycia Njoko,BnA627AAAAAJ,1453,,"Assistant Lecturer, Petra Christian University",@petra.ac.id,Communication Science;Mass Media,7,https://scholar.google.com/citations?view_op=medium_photo&user=BnA627AAAAAJ
Ventje Jansen,,1454,,,,,,
Vera Kristian,,1455,,,,,,
Veronika Irene,,1456,,,,,,
Vicky Ronald Aristika,,1457,,,,,,
Victor Rizal Palapessy,,1458,,,,,,
Victor Y. Risonarta,,1459,,,,,,
Vido Iskandar,7FcA5H4AAAAJ,1460,,"Assistant Professor, Petra Christian University",@petra.ac.id,Hospitality;Management;Human Resource Management,157,https://scholar.google.com/citations?view_op=medium_photo&user=7FcA5H4AAAAJ
Vincent Prasetyo,,1461,,,,,,
Virgorina Suzana Ndoen,,1462,,,,,,
Vita Monica,,1463,,,,,,
Vivi Anggraini,,1464,,,,,,
Vivi Darmalim,,1465,,,,,,
Vivi Hendry,,1466,,,,,,
