name,scholar_id,affiliation,email_domain,interests,citedby,url_picture
Wanda K Widigdo C,CvpyWrMAAAAJ,Petra Christian University,@petra.ac.id,architectur;eco-architecture;environment;sustainable architecture,128,https://scholar.google.com/citations?view_op=medium_photo&user=CvpyWrMAAAAJ
Grace Setiati,mde_yjkAAAAJ,Petra Christian University,@petra.ac.id,interior design,127,https://scholar.google.com/citations?view_op=medium_photo&user=mde_yjkAAAAJ
Yonathan Palumian,fh32y3AAAAAJ,Petra Christian University,@petra.ac.id,Management;Business Analytics;Management Information System,127,https://scholar.google.com/citations?view_op=medium_photo&user=fh32y3AAAAAJ
Anik Juniwati,ZxLMXwMAAAAJ,"Lecture, Petra Christian University",@petra.ac.id,building thermal;building technology,122,https://scholar.google.com/citations?view_op=medium_photo&user=ZxLMXwMAAAAJ
Kriswanto Widiawan,kd4vOZMAAAAJ,"Industrial Engineering Department, Petra Christian University, Surabaya",@petra.ac.id,Entrepreneurship;Innovation,118,https://scholar.google.com/citations?view_op=medium_photo&user=kd4vOZMAAAAJ
Listia Natadjaja,u3XU8A8AAAAJ,"Associate Professor of Visual Communication Design, Petra Christian University",@petra.ac.id,Packaging Design;Media and Cultural Studies;Service-Learning,113,https://scholar.google.com/citations?view_op=medium_photo&user=u3XU8A8AAAAJ
Maria Helena Suprapto,aVOy6SsAAAAJ,Lecturer at Petra Christian University,@petra.ac.id,Smartphone Addiction;Clinical psychology;Psychotherapy;Cognitive Behavior Therapy,112,https://scholar.google.com/citations?view_op=medium_photo&user=aVOy6SsAAAAJ
Samuel Gunawan,X7y8GO8AAAAJ,"Professor of English, Petra Christian University",@petra.ac.id,Rhetoric and Communication Arts;Linguistics;English,99,https://scholar.google.com/citations?view_op=medium_photo&user=X7y8GO8AAAAJ
Astri Yogatama Sigilipoe,h88rlUsAAAAJ,Petra Christian University,@petra.ac.id,organizational communication;sociology;public relations;communication management,98,https://scholar.google.com/citations?view_op=medium_photo&user=h88rlUsAAAAJ
Luri Renaningtyas,S5ONZX0AAAAJ,Lecturer of Petra Christian University,@petra.ac.id,Visual Communication Design;Cultural Studies;Digital Culture;Photography;Fashion Design,96,https://scholar.google.com/citations?view_op=medium_photo&user=S5ONZX0AAAAJ
Augustinus Simanjuntak,jsLRwaYAAAAJ,Petra Christian University,@petra.ac.id,Business Law and Ethics,94,https://scholar.google.com/citations?view_op=medium_photo&user=jsLRwaYAAAAJ
Mendy H. Malkisedek,w_oMCNkAAAAJ,"Lecturer of Visual Communication Design, Petra Christian university",@petra.ac.id,visual communication design;graphic design,92,https://scholar.google.com/citations?view_op=medium_photo&user=w_oMCNkAAAAJ
Emmy Hosea,dBw1jloAAAAJ,Petra Christian University,@petra.ac.id,Power System Analysis;Renewable Energy,91,https://scholar.google.com/citations?view_op=medium_photo&user=dBw1jloAAAAJ
Devie,ZmPbJo0AAAAJ,"Associate Professor of strategic management accounting, Petra Christian University",@petra.ac.id,strategic management accounting;leadership;and strategy management,90,https://scholar.google.com/citations?view_op=medium_photo&user=ZmPbJo0AAAAJ
Debora Anne Yang Aysia,KXrEBfAAAAAJ,Lecturer of Industrial Engineering Department Petra Christian University,@petra.ac.id,Work system design and ergonomic,88,https://scholar.google.com/citations?view_op=medium_photo&user=KXrEBfAAAAAJ
Oegik Soegihardjo,PZkjBwkAAAAJ,Petra Christian University,@petra.ac.id,mechanical engineering,86,https://scholar.google.com/citations?view_op=medium_photo&user=PZkjBwkAAAAJ
Hendri Kwistianus,YDTHPu0AAAAJ,Petra Christian University,@petra.ac.id,Sustainability;Data Analytics;Management Accounting;Leadership,82,https://scholar.google.com/citations?view_op=medium_photo&user=YDTHPu0AAAAJ
Stephanus Antonius Ananda,YUTXWNUAAAAJ,Informatics Engineering - Petra Christian University,@petra.ac.id,Multi-Agent System (AI & IoT);SmartGrid;Protective Relaying;HV Technology;Electric Machinery,75,https://scholar.google.com/citations?view_op=medium_photo&user=YUTXWNUAAAAJ
Joko Purnomo,fZkiLdAAAAAJ,"Petra Christian University, Surabaya, Indonesia",@petra.ac.id,rigid body spring model,75,https://scholar.google.com/citations?view_op=medium_photo&user=fZkiLdAAAAAJ
Juliana Caesaria Tandung,xlsviykAAAAJ,Petra Christian University - Indonesia,@petra.ac.id,Human Resource Management;Organizational Behavior;Work-Life Balance;Burnout;Cross Cultural Communication,73,https://scholar.google.com/citations?view_op=medium_photo&user=xlsviykAAAAJ
DANI PUSPITASARI,nKBpad4AAAAJ,"Lecturer, Petra Christian University",@petra.ac.id,education;digital learning;TESOL;early childhood education;elementary teacher education,72,https://scholar.google.com/citations?view_op=medium_photo&user=nKBpad4AAAAJ
Advances in Civil Engineering and Sustainable Architecture,1xE-gJYAAAAJ,Petra Christian University,@petra.ac.id,,72,https://scholar.google.com/citations?view_op=medium_photo&user=1xE-gJYAAAAJ
Setefanus Suprajitno,QYRpog4AAAAJ,Petra Christian University,@petra.ac.id,,68,https://scholar.google.com/citations?view_op=medium_photo&user=QYRpog4AAAAJ
Felecia Felecia,DWHa6hQAAAAJ,"Industrial Engineering Department, Petra Christian University",@petra.ac.id,Quality;Technopreneurship,66,https://scholar.google.com/citations?view_op=medium_photo&user=DWHa6hQAAAAJ
Kartika Bayu Primasanti,zObDtDAAAAAJ,"Lecturer of Teacher Education Department, Petra Christian University",@petra.ac.id,early childhood study;child biblical counseling,65,https://scholar.google.com/citations?view_op=medium_photo&user=zObDtDAAAAAJ
Iwan Handoyo Putro,D6-QWk0AAAAJ,Petra Christian University,@petra.ac.id,Educational Technology,64,https://scholar.google.com/citations?view_op=medium_photo&user=D6-QWk0AAAAJ
Feny Elsiana,5MZiQNoAAAAJ,"Department of Architecture, Petra Christian University",@petra.ac.id,daylighting;sustainable architecture,60,https://scholar.google.com/citations?view_op=medium_photo&user=5MZiQNoAAAAJ
Prayonne Adi,5za9QEAAAAAJ,"Lecturer of Industrial Engineering Department, Petra Christian University",@petra.ac.id,Industrial Engineering,58,https://scholar.google.com/citations?view_op=medium_photo&user=5za9QEAAAAAJ
